Average weekly BID rates @ +/- 0.0%,,,,
OANDA Exchange Rates,,,,
https://fxds-hcc.oanda.com,,,,
,,,,
,,,,
Period Start Date,GBP/LYD,,GBP/CDF,
16/10/2017,1.77553,1.74431,2046.67,1575.5625
09/10/2017,1.77959,1.73508,2064.17,1502.792
02/10/2017,1.77325,,2048.71,
25/09/2017,1.80729,,2077.07,
18/09/2017,1.80918,,2096.1,
11/09/2017,1.79078,,2073.01,
04/09/2017,1.75179,,2021.98,
28/08/2017,1.73673,,1993.89,
21/08/2017,1.72465,,2006.42,
14/08/2017,1.73247,,2050.1,
07/08/2017,1.74437,,2050.41,
31/07/2017,1.77079,,2077.75,
24/07/2017,1.76687,,2067.45,
17/07/2017,1.76891,,2023.53,
10/07/2017,1.77159,,1964.2,
03/07/2017,1.77354,,1919.39,
26/06/2017,1.77482,,1885.16,
19/06/2017,1.74646,,1828.78,
12/06/2017,1.75509,,1812.9,
05/06/2017,1.76366,,1828.66,
29/05/2017,1.76322,,1819.31,
22/05/2017,1.78181,,1806.61,
15/05/2017,1.7861,,1806.3,
08/05/2017,1.78647,,1797.24,
01/05/2017,1.79511,,1777.75,
24/04/2017,1.78665,,1768.52,
17/04/2017,1.77592,,1742.57,
10/04/2017,1.74728,,1684.86,
03/04/2017,1.74016,,1673.94,
27/03/2017,1.7475,,1664.9,
20/03/2017,1.74116,,1635.73,
13/03/2017,1.72063,,1604.51,
06/03/2017,1.71005,,1570.4,
27/02/2017,1.73716,,1588.23,
20/02/2017,1.74941,,1573.92,
13/02/2017,1.74708,,1573.33,
06/02/2017,1.74359,,1566.77,
30/01/2017,1.7467,,1565.59,
23/01/2017,1.75059,,1547.98,
16/01/2017,1.72304,,1495.98,
09/01/2017,1.71791,,1459.67,
02/01/2017,1.73716,,1444.74,
26/12/2016,1.73657,1.75388,1450.68,1398.855
19/12/2016,1.74415,1.7405075,1440.37,1294.4725
12/12/2016,1.7663,1.692434,1345.48,1222.718
05/12/2016,1.7685,1.7776975,1358.89,1273.2925
28/11/2016,1.75993,1.784002,1348.67,1275.294
21/11/2016,1.75047,1.786395,1313.07,1241.715
14/11/2016,1.7302,1.871335,1230.06,1300.505
07/11/2016,1.72143,1.904044,1286.09,1326.106
31/10/2016,1.7143,1.8833925,1241.95,1306.66
24/10/2016,1.67344,1.9237125,1232.91,1304.0675
17/10/2016,1.68425,1.930992,1225.25,1302.72
10/10/2016,1.67457,1.95792,1187.89,1312.4775
03/10/2016,1.71561,,1225.59,
26/09/2016,1.75752,,1260.01,
19/09/2016,1.76434,,1262.54,
12/09/2016,1.78283,,1278.33,
05/09/2016,1.8061,,1292.29,
29/08/2016,1.79234,,1282.65,
22/08/2016,1.79364,,1280.65,
15/08/2016,1.76911,,1273.06,
08/08/2016,1.75958,,1260.19,
01/08/2016,1.80534,,1279.92,
25/07/2016,1.79105,,1266.67,
18/07/2016,1.79246,,1243.24,
11/07/2016,1.79534,,1236.15,
04/07/2016,1.76673,,1220.8,
27/06/2016,1.7927,,1245.29,
20/06/2016,1.89448,,1342.41,
13/06/2016,1.89411,,1313.4,
06/06/2016,1.90405,,1300.92,
30/05/2016,1.93574,,1326.12,
23/05/2016,1.90631,,1336.04,
16/05/2016,1.91691,,1324.33,
09/05/2016,1.86163,,1316.08,
02/05/2016,1.89963,,1327.96,
25/04/2016,1.92984,,1331.33,
18/04/2016,1.87794,,1310.11,
11/04/2016,1.8683,,1296.53,
04/04/2016,1.85749,,1288.67,
28/03/2016,1.91492,,1304.41,
21/03/2016,1.90792,,1297.09,
14/03/2016,1.92505,,1310,
07/03/2016,1.94696,,1304.77,
29/02/2016,1.91224,,1281.92,
22/02/2016,1.90134,,1276.95,
15/02/2016,1.94217,,1311.96,
08/02/2016,1.95383,,1321.43,
01/02/2016,1.94538,,1321.34,
25/01/2016,1.94512,,1303.18,
18/01/2016,1.93569,,1299.53,
11/01/2016,1.96898,,1313.92,
04/01/2016,1.98189,,1333.28,
28/12/2015,2.01903,2.0348525,1346.93,1364.045
21/12/2015,2.02949,2.069402,1360.25,1382.708
14/12/2015,2.03002,2.05208,1368.87,1400.8775
07/12/2015,2.06087,2.0461,1380.13,1398.3375
30/11/2015,2.04832,2.082084,1371.04,1412.708
23/11/2015,2.06975,2.0850575,1375.71,1417.6075
16/11/2015,2.08792,2.082842,1389.63,1419.152
09/11/2015,2.07313,2.08137,1384.86,1405.425
02/11/2015,2.06789,2.0125675,1392.3,1362.825
26/10/2015,2.06082,2.005326,1399.41,1359.192
19/10/2015,2.06676,2.0462625,1404.55,1394.5275
12/10/2015,2.05886,1.8908725,1405.38,1375.365
05/10/2015,2.02188,,1394.17,
28/09/2015,2.01456,,1383.46,
21/09/2015,2.04448,,1396.13,
14/09/2015,2.06617,,1412.22,
07/09/2015,2.05919,,1401.54,
31/08/2015,2.04554,,1389.33,
24/08/2015,2.07556,,1413.2,
17/08/2015,2.11772,,1425.55,
10/08/2015,2.08648,,1420.3,
03/08/2015,2.08512,,1415.16,
27/07/2015,2.07876,,1422.26,
20/07/2015,2.08249,,1417.67,
13/07/2015,2.09622,,1419.41,
06/07/2015,2.08276,,1411.09,
29/06/2015,2.09674,,1426.3,
22/06/2015,2.1041,,1436.77,
15/06/2015,2.10783,,1436.36,
08/06/2015,2.06329,,1406.27,
01/06/2015,2.04225,,1390.06,
25/05/2015,2.0706,,1394.73,
18/05/2015,2.09548,,1413.67,
11/05/2015,2.10742,,1424.73,
04/05/2015,2.05198,,1388.57,
27/04/2015,2.04055,,1384.07,
20/04/2015,2.02141,,1369.94,
13/04/2015,1.99611,,1352.14,
06/04/2015,1.9922,,1345.15,
30/03/2015,1.99507,,1352.24,
23/03/2015,2.00647,,1355.05,
16/03/2015,1.99575,,1350.14,
09/03/2015,1.99536,,1356.86,
02/03/2015,2.03398,,1381.67,
23/02/2015,2.06129,,1402.29,
16/02/2015,2.05491,,1397.37,
09/02/2015,2.03854,,1394.87,
02/02/2015,2.03031,,1383.58,
26/01/2015,1.98229,,1375.63,
19/01/2015,1.87666,,1373.7,
12/01/2015,1.88138,,1376.86,
05/01/2015,1.82316,,1375.27,
29/12/2014,1.82877,1.891904,1403.69,1419.196
22/12/2014,1.83388,1.89784,1416.39,1434.285
15/12/2014,1.927,1.961545,1424.34,1461.2275
08/12/2014,1.94305,1.97048,1427.37,1476.246
01/12/2014,1.92682,2.030345,1424.19,1515.5025
24/11/2014,1.87812,2.0834525,1427,1544.7675
17/11/2014,1.88903,2.048828,1424.02,1537.004
10/11/2014,1.90303,2.05465,1436.51,1525.6175
03/11/2014,1.92118,2.0522425,1449.61,1521.785
27/10/2014,1.94637,2.034958,1465.04,1506.114
20/10/2014,1.95079,2.03638,1463.66,1502.425
13/10/2014,1.98007,2.0234975,1455.92,1494.015
06/10/2014,1.96895,,1460.29,
29/09/2014,1.95887,,1461.73,
22/09/2014,1.98054,,1479.32,
15/09/2014,1.96533,,1477.43,
08/09/2014,1.97441,,1469.34,
01/09/2014,1.97325,,1493.41,
25/08/2014,1.99085,,1507.3,
18/08/2014,2.00254,,1510.49,
11/08/2014,2.05509,,1518.47,
04/08/2014,2.0729,,1525.75,
28/07/2014,2.08062,,1532.79,
21/07/2014,2.09584,,1544.16,
14/07/2014,2.08255,,1550.2,
07/07/2014,2.0748,,1551.92,
30/06/2014,2.05769,,1555.62,
23/06/2014,2.05856,,1533.01,
16/06/2014,2.04656,,1540.89,
09/06/2014,2.04787,,1534.05,
02/06/2014,2.03346,,1521.45,
26/05/2014,2.04725,,1520.2,
19/05/2014,2.05892,,1526.31,
12/05/2014,2.05146,,1524.1,
05/05/2014,2.06097,,1531.86,
28/04/2014,2.06149,,1527.06,
21/04/2014,2.05723,,1523.53,
14/04/2014,2.04843,,1520.62,
07/04/2014,2.04182,,1515.93,
31/03/2014,2.03257,,1504.39,
24/03/2014,2.02813,,1502.81,
17/03/2014,2.02763,,1501.41,
10/03/2014,2.039,,1508.68,
03/03/2014,2.04746,,1513.28,
24/02/2014,2.04838,,1514.75,
17/02/2014,2.037,,1509.55,
10/02/2014,2.03992,,1502.29,
03/02/2014,2.02022,,1483.11,
27/01/2014,2.03265,,1496.65,
20/01/2014,2.03244,,1498.76,
13/01/2014,2.01572,,1488.01,
06/01/2014,2.01318,,1492.64,
,,,,
Period Average,1.8685,,1703.35,
Period Low,1.66929,,1187.89,
Period High,2.11772,,2233.21,
