"Fiscal_Year","Country","HE.Provider","Level.Of.Study","Mode.Of..Study","Academic.Year","Visa.Code","Visa.Fee....","Visa.NHS.Charge....","Visa.After.Graduation","Visa.Work.Requirements.After.Graduation","Salary.Requirements","Dependents.Allowed","Visa.Fee..Dependents","Visa.NHS.Charge.Depen","HE.Provider.Term.1","HE.Provider.Term.2","Enrollment","FX_Rate","Growth.Indicator","Value","Tuition_Av"
"2014","Gambia","The University of Dundee","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,15500
"2014","Gambia","The University of Dundee","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,15500
"2014","Gambia","The University of Dundee","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,15500
"2014","Gambia","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,16000
"2014","Gambia","The University of Edinburgh","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,16000
"2014","Gambia","The University of Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,16000
"2014","Gambia","The University of Edinburgh","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,16000
"2014","Gambia","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14000
"2014","Gambia","The University of Glasgow","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14000
"2014","Gambia","The University of Glasgow","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,14000
"2014","Gambia","The University of Glasgow","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,14000
"2014","Gambia","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,18500
"2014","Gambia","The University of St. Andrews","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,18500
"2014","Gambia","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,18500
"2014","Gambia","The University of St. Andrews","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,18500
"2014","Gambia","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13500
"2014","Gambia","The University of Stirling","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13500
"2014","Gambia","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13500
"2014","Gambia","The University of Stirling","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13500
"2014","Gambia","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13500
"2014","Gambia","The University of Strathclyde","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13500
"2014","Gambia","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,13500
"2014","Gambia","The University of Strathclyde","All postgraduate","Part-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,13500
"2014","Gambia","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"GDP ",-1.407382495,12750
"2014","Gambia","The University of the West of Scotland","All postgraduate","Full-time","2014/2015","Tier 4 (General)","310","150","Not Applicable","None","None","Yes","310","150","September","January",0,65.97,"Inflation ",5.211723107,12750
